 
                                                                                                                                                                                                                                                                
 
ticker      evtdate       car
 DELL     05MAY2004     0.01101
 DELL     05MAY2006     0.02405
 DELL     06JAN2003    -0.01046
 DELL     07JAN2003     0.00853
 DELL     07NOV2001    -0.02470
 DELL     08JUN2012    -0.01370
 DELL     09APR2012     0.02517
 DELL     09NOV2004    -0.02860
 DELL     09NOV2009     0.02485
 DELL     10AUG2011     0.03393
 DELL     10DEC2003     0.00999
 DELL     10JAN2012    -0.00736
 DELL     10NOV2010    -0.03112
 DELL     10SEP2010    -0.03415
 DELL     11AUG2004    -0.01997
 DELL     11DEC2002    -0.02455
 DELL     11FEB2005    -0.05799
 DELL     11JUL2001     0.02220
 DELL     11JUN2012    -0.00787
 DELL     12AUG2004     0.03816
 DELL     12AUG2005    -0.07517
 DELL     12MAY2005     0.08002
 DELL     15SEP2003     0.01577
 DELL     14FEB2003     0.09339
 DELL     14JAN2005    -0.01191
 DELL     14JUN2004     0.01292
 DELL     15APR2005    -0.01116
 DELL     15MAY2003    -0.01741
 DELL     15OCT2010     0.01063
 DELL     15SEP2004    -0.00831
 DELL     17FEB2006    -0.05183
 DELL     17MAR2011     0.01154
 DELL     18AUG2006    -0.04709
 DELL     18FEB2003    -0.00064
 DELL     19APR2005     0.02452
 DELL     19JAN2001     0.07305
 DELL     19JUN2003     0.02379
 DELL     19MAY2006     0.02072
 DELL     20JUL2006    -0.08955
 DELL     21APR2006    -0.05240
 DELL     21APR2008     0.00035
 DELL     21JUN2002     0.06041
 DELL     22JAN2001     0.01813
 DELL     22NOV2006     0.09836
 DELL     24JUL2006     0.02233
 DELL     23MAY2008     0.02251
 DELL     25SEP2002    -0.00700
 DELL     27JUL2012    -0.01281
 DELL     29SEP2008     0.00036
 DELL     01OCT2012     0.00791
 DELL     31OCT2005    -0.05841
 PLAB     01JUL2005     0.00947
 PLAB     02JUN2003    -0.02490
 PLAB     01JUN2004     0.00366
 PLAB     02JUN2008     0.01601
 PLAB     02AUG2007    -0.04988
 PLAB     04DEC2002     0.00772
 PLAB     06AUG2007    -0.03925
 PLAB     07JUL2009     0.07541
 PLAB     08DEC2005    -0.05807
 PLAB     09SEP2002     0.03076
 PLAB     09JAN2002     0.02689
 PLAB     10DEC2007     0.14218
 PLAB     10DEC2013     0.11565
 PLAB     12APR2001    -0.00500
 PLAB     13DEC2001     0.03630
 PLAB     13FEB2002     0.01407
